MS SubClass,Lot Frontage,Lot Area,Street,Lot Shape,Land Slope,Overall Qual,Overall Cond,Year Remod/Add,Mas Vnr Area,Exter Qual,Exter Cond,Bsmt Qual,Bsmt Cond,Bsmt Exposure,BsmtFin Type 1,BsmtFin SF 1,BsmtFin Type 2,BsmtFin SF 2,Bsmt Unf SF,Total Bsmt SF,Heating QC,2nd Flr SF,Low Qual Fin SF,Bsmt Full Bath,Bsmt Half Bath,Full Bath,Half Bath,Bedroom AbvGr,Kitchen AbvGr,TotRms AbvGrd,Fireplaces,Garage Yr Blt,Garage Area,Garage Qual,Garage Cond,Wood Deck SF,Open Porch SF,Enclosed Porch,3Ssn Porch,Screen Porch,Pool Area,Misc Val,Mo Sold,Yr Sold,SalePrice,EQ_EC,BQ_BC
60,43.0,11492,1,3,3,7,5,1997,132.0,4,3,4,3,1,6,637.0,1,0.0,276.0,913.0,5,1209,0,1.0,0.0,2,1,4,1,8,1,1997.0,559.0,3,3,0,74,0,0,0,0,0,4,2009,220000,12,12
20,68.0,7922,1,4,3,5,7,2007,0.0,3,4,3,3,1,6,731.0,1,0.0,326.0,1057.0,3,0,0,1.0,0.0,1,0,3,1,5,0,1953.0,246.0,3,3,0,52,0,0,0,0,0,1,2010,109000,12,9
60,73.0,9802,1,4,3,5,5,2007,0.0,3,3,4,3,1,1,0.0,1,0.0,384.0,384.0,4,700,0,0.0,0.0,2,1,3,1,7,0,2007.0,400.0,3,3,100,0,0,0,0,0,0,4,2010,174000,9,12
50,82.0,14235,1,3,3,6,8,1993,0.0,3,3,2,4,1,1,0.0,1,0.0,676.0,676.0,3,614,0,0.0,0.0,2,0,3,1,6,0,1957.0,484.0,3,3,0,59,0,0,0,0,0,3,2010,138500,9,8
20,137.0,16492,1,3,3,6,6,2002,0.0,4,3,3,3,1,5,247.0,3,713.0,557.0,1517.0,5,0,0,0.0,0.0,2,1,2,1,6,1,1966.0,578.0,3,3,0,0,0,0,0,0,0,6,2010,190000,12,9
180,35.0,3675,1,4,3,6,5,2006,82.0,3,3,4,3,4,6,547.0,1,0.0,0.0,547.0,4,0,0,1.0,0.0,2,0,2,1,5,0,2005.0,525.0,3,3,0,44,0,0,0,0,0,6,2006,140000,9,12
60,70.0,11606,1,3,1,5,5,1969,192.0,3,3,4,3,3,3,650.0,1,0.0,390.0,1040.0,3,1040,0,0.0,1.0,1,2,5,1,9,2,1969.0,504.0,3,3,335,0,0,0,0,0,0,9,2007,135000,9,12
160,21.0,1680,1,4,3,6,5,1971,232.0,3,3,3,3,1,5,387.0,1,0.0,96.0,483.0,3,504,0,0.0,0.0,1,1,2,1,4,0,1971.0,264.0,3,3,0,0,0,0,0,0,0,7,2008,85400,9,9
20,64.0,7488,1,3,3,7,5,2005,0.0,4,3,4,3,3,6,393.0,1,0.0,815.0,1208.0,5,0,0,0.0,0.0,2,0,2,1,6,0,2005.0,632.0,3,3,105,58,0,0,0,0,0,2,2006,183600,12,12
160,24.0,2645,1,4,3,8,5,2000,456.0,4,3,4,3,1,6,813.0,1,0.0,147.0,960.0,5,645,0,1.0,0.0,2,1,3,1,7,0,2000.0,480.0,3,3,169,0,0,0,0,0,0,12,2008,200000,12,12
